t,x,y
0.0000,366,55
0.0484,403,114
0.0968,281,246
0.1452,146,264
0.1935,95,228
0.2419,56,140
0.2903,50,125
0.3387,32,75
0.3871,75,45
0.4355,101,43
0.4839,124,21
0.5323,186,39
0.5806,223,42
0.6290,239,74
0.6774,376,90
0.7258,319,157
0.7742,229,227
0.8226,110,231
0.8710,62,182
0.9194,60,125
0.9677,79,108
1.0161,75,62
1.0645,68,61
1.1129,92,56
1.1613,163,42
1.2097,181,45
1.2581,254,36
1.3065,315,80
1.3548,285,127
1.4032,243,193
1.4516,154,220
1.5000,76,192
1.5484,56,139
1.5968,89,119
1.6452,78,87
1.6935,100,75
1.7419,96,53
1.7903,137,53
1.8387,201,38
1.8871,260,64
1.9355,259,97
1.9839,283,129
2.0323,289,169
2.0806,144,200
2.1290,133,169
2.1774,106,141
2.2258,100,105
2.2742,110,98
2.3226,108,80
2.3710,142,71
2.4194,137,57
2.4677,200,66
2.5161,236,71
2.5645,255,97
2.6129,235,131
2.6613,192,165
2.7097,159,171
2.7581,105,148
2.8065,110,138
2.8548,71,121
2.9032,64,87
2.9516,87,89
3.0000,128,87
